id;scientificName;scientificNameAuthorship;eventDate;decimalLongitude;decimalLatitude;institutionCode;collectionCode;catalogNumber;scientificNameID;originalscientificname;absence;acceptedNameUsage;acceptedNameUsageID;accessRights;aphiaID;associatedMedia;associatedReferences;associatedSequences;associatedTaxa;basisOfRecord;behavior;bibliographicCitation;brackish;category;class;classid;collectionID;continent;coordinatePrecision;coordinateUncertaintyInMeters;country;countryCode;county;dataGeneralizations;datasetID;datasetName;dataset_id;dateIdentified;date_end;date_mid;date_start;date_year;day;disposition;division;divisionid;dropped;dynamicProperties;endDayOfYear;establishmentMeans;eventID;eventRemarks;eventTime;family;familyid;fieldNotes;fieldNumber;footprintSRS;footprintWKT;forma;formaid;genus;genusid;geodeticDatum;georeferenceProtocol;georeferenceRemarks;georeferenceSources;georeferenceVerificationStatus;georeferencedBy;georeferencedDate;hab;habitat;higherClassification;higherGeography;higherGeographyID;identificationID;identificationQualifier;identificationReferences;identificationRemarks;identificationVerificationStatus;identifiedBy;individualCount;individualID;informationWithheld;infraclass;infraclassid;infrakingdom;infrakingdomid;infraorder;infraorderid;infraphylum;infraphylumid;infraspecificEpithet;institutionID;island;islandGroup;kingdom;kingdomid;language;license;lifeStage;locality;locationAccordingTo;locationID;locationRemarks;lowestBiostratigraphicZone;marine;materialSampleID;maximumDepthInMeters;maximumDistanceAboveSurfaceInMeters;maximumElevationInMeters;minimumDepthInMeters;minimumDistanceAboveSurfaceInMeters;minimumElevationInMeters;modified;month;municipality;nameAccordingTo;nameAccordingToID;namePublishedIn;namePublishedInID;namePublishedInYear;node_id;nomenclaturalCode;nomenclaturalStatus;occurrenceID;occurrenceRemarks;occurrenceStatus;order;orderid;organismID;organismName;organismQuantity;organismQuantityType;organismRemarks;organismScope;originalNameUsage;originalNameUsageID;originalScientificName;otherCatalogNumbers;ownerInstitutionCode;parentEventID;parentNameUsage;parentNameUsageID;parvorder;parvorderid;phylum;phylum (division);phylum (division)id;phylumid;preparations;previousIdentifications;recordNumber;recordedBy;references;reproductiveCondition;rights;rightsHolder;sampleSizeUnit;sampleSizeValue;samplingEffort;samplingProtocol;section;sectionid;sex;species;speciesid;specificEpithet;startDayOfYear;stateProvince;subclass;subclassid;subdivision;subdivisionid;subfamily;subfamilyid;subforma;subformaid;subgenus;subgenusid;subkingdom;subkingdomid;suborder;suborderid;subphylum;subphylum (subdivision);subphylum (subdivision)id;subphylumid;subsection;subsectionid;subspecies;subspeciesid;subterclass;subterclassid;subtribe;subtribeid;subvariety;subvarietyid;superclass;superclassid;superfamily;superfamilyid;superorder;superorderid;supertribe;supertribeid;taxonConceptID;taxonID;taxonRank;taxonRemarks;taxonomicStatus;terrestrial;tribe;tribeid;type;typeStatus;variety;varietyid;verbatimCoordinateSystem;verbatimCoordinates;verbatimDepth;verbatimElevation;verbatimEventDate;verbatimLatitude;verbatimLocality;verbatimLongitude;verbatimSRS;verbatimTaxonRank;vernacularName;waterBody;year;flags
016d4de4-344d-43dc-b587-841b2db87bf6;Ophiothela mirabilis;;;151.916;-23.45;AM;co113;J.9482;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;;;;PreservedSpecimen;;;false;;Ophiuroidea;123084;;;10000;;Australia;;;;;;517ac935-af0f-4358-88fb-7093015182af;;;;;;;;;;false;;;;;;;Ophiotrichidae;123208;;;;POINT (151.91600 -23.45000);;;Ophiothela;205004;EPSG:4326;;;;;;;;;;;;;;;;;;;;;Metophiurida;1062634;;;;;;;;;;;Animalia;2;;;;Heron Island;;;;;true;;;;;;;;2017-03-02T11:31:46;;;;;;;;"[""2a57cd59-6799-4579-955e-27c9af97aea4""]";;;urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:J.9482;;present;Amphilepidida;1062666;;;;;;;;;Ophiothela danae;;;;;;;;Echinodermata;;;1806;;;;;;;;;;;;;;;;Ophiothela mirabilis;244093;danae;;;Myophiuroidea;1062633;;;;;;;;;;;Gnathophiurina;196221;Asterozoa;;;148743;;;;;;;;;;;;;Ophiactoidea;1079036;Ophintegrida;1062660;;;;;species;;;false;;;;;;;;;;;;;;;;;;;;no_depth
01852a47-75b2-4ff2-bdd4-95d1cf449437;Ophiothela mirabilis;;06/11/2014;-20.3228725;-40.3570948;;;;urn:lsid:marinespecies.org:taxname:244093;;false;;;;244093;;;;;HumanObservation;;;false;;Ophiuroidea;123084;;;;5;Brazil;;;;;;d80e376f-daaf-4cf0-b802-c302768beb4d;;;;;;;;;;false;;;;InQuES_VITORIA_BAIADEVITORIA_BV16_R1;;;Ophiotrichidae;123208;;;;;;;Ophiothela;205004;WGS84;;;;;;;;Estuary;;;;;;;;;;;;;Metophiurida;1062634;;;;;;;;;;;Animalia;2;;;;Espirito Santo;;;;;true;;;;;;;;;;;;;;;;"[""dde0dbd3-92fb-41e6-9f51-b1ae930a934b""]";;;InQuES_VITORIA_BAIADEVITORIA_BV16_R1-00132;;present;Amphilepidida;1062666;;;;;;;;;Ophiothela mirabilis;;;InQuES_VITORIA_BAIADEVITORIA_BV16;;;;;Echinodermata;;;1806;;;;;;;;;;;;;;;;Ophiothela mirabilis;244093;;;;Myophiuroidea;1062633;;;;;;;;;;;Gnathophiurina;196221;Asterozoa;;;148743;;;;;;;;;;;;;Ophiactoidea;1079036;Ophintegrida;1062660;;;;;;;;false;;;;;;;;;;;;;;;;;;;;no_depth
01d9cc09-208b-47c3-950f-a90380e262c6;Ophiothela mirabilis;;;97.633;8.8;AM;co113;J.14741;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;;;;PreservedSpecimen;;;false;;Ophiuroidea;123084;;;;;;;;;;;517ac935-af0f-4358-88fb-7093015182af;;;;;;;;;;false;;;;;;;Ophiotrichidae;123208;;;;POINT ( 97.63300  8.80000);;;Ophiothela;205004;EPSG:4326;;;;;;;;;;;;;;;;;;;;;Metophiurida;1062634;;;;;;;;;;;Animalia;2;;;;Ko Sua Sinelan Island;;;;;true;;;;;;;;2017-03-02T14:27:22;;;;;;;;"[""2a57cd59-6799-4579-955e-27c9af97aea4""]";;;urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:J.14741;;present;Amphilepidida;1062666;;;;;;;;;Ophiothela danae;;;;;;;;Echinodermata;;;1806;;;;;;;;;;;;;;;;Ophiothela mirabilis;244093;danae;;;Myophiuroidea;1062633;;;;;;;;;;;Gnathophiurina;196221;Asterozoa;;;148743;;;;;;;;;;;;;Ophiactoidea;1079036;Ophintegrida;1062660;;;;;species;;;false;;;;;;;;;;;;;;;;;;;;no_depth
01e90633-2135-4d1e-b0d3-b37897b68618;Ophiothela mirabilis;Verrill;1964-08-19T12:00:00Z;34.98300171;-24.79999924;USNM;Invertebrate Zoology: Echinoderms;E42807.351381;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;National Museum of Natural History, Smithsonian Institution;;;PreservedSpecimen;;Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_p [...];false;;Ophiuroidea;123084;;;;;Mozambique;;;;;;89e23fc8-3f61-4480-9de3-358fe6eefe0b;;-1.6943E+11;-1.6943E+11;-1.6943E+11;1964;19;;;;false;observedindividualcount=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02bfd297-87a4-4bc7-8d52-7024bde11e81;Ophiothela mirabilis;;16/09/1985 23:09;132.088;-11.0533;MAGNT;MAGNT_Echinoderm;;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;;;;PreservedSpecimen;;;false;;Ophiuroidea;123084;;;100;;;;;;;;abf0787d-1f5e-4a58-ad7d-7d9c3f256413;;4.95677E+11;4.95677E+11;4.95677E+11;1985;;;;;false;;;;;;;Ophiotrichidae;123208;;;;POINT (132.08833 -11.05333);;;Ophiothela;205004;;;;;;;;;;;;;;;;;;;;;;Metophiurida;1062634;;;;;;;;;;;Animalia;2;;;;;;;;;true;;;;;;;;2019-01-02T15:23:15;;;;;;;;"[""2a57cd59-6799-4579-955e-27c9af97aea4""]";;;urn:lsid:ozcam.taxonomy.org.au:MAGNT:Echinoderm:Q004390;;present;Amphilepidida;1062666;;;1;individuals;;;;;Ophiothela danae;;;;;;;;Echinodermata;;;1806;;;;;;;;;;;;;;;;Ophiothela mirabilis;244093;;;;Myophiuroidea;1062633;;;;;;;;;;;Gnathophiurina;196221;Asterozoa;;;148743;;;;;;;;;;;;;Ophiactoidea;1079036;Ophintegrida;1062660;;;;;species;;;false;;;;;;;;;;;;;;;;;;;;no_depth
06f2dfae-f406-4dd7-b5f5-7fdfb2d0358a;Ophiothela mirabilis;;;119.3352;-17.2516;WAM;co273;Z58383;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;;;;PreservedSpecimen;;;false;;Ophiuroidea;123084;;;;;Australia;;;;;;0a6c216b-0abe-44d2-a45c-43d9611e2a03;;;;;;;;;;false;;;;;;;Ophiotrichidae;123208;;Echinodermata;;POINT (119.33520 -17.25160);;;Ophiothela;205004;EPSG:4326;;;;;;;;;;;;;;;;;;;;;Metophiurida;1062634;;;;;;;;;;;Animalia;2;;;;8;;;;;true;;;;;;;;2017-02-27T15:46:41;;;;;;;;"[""2a57cd59-6799-4579-955e-27c9af97aea4""]";;;Z58383;;present;Amphilepidida;1062666;;;;;;;;;Ophiothela danae;;;;;;;;Echinodermata;;;1806;;;;;;;;;;;;;;;;Ophiothela mirabilis;244093;danae;;;Myophiuroidea;1062633;;;;;;;;;;;Gnathophiurina;196221;Asterozoa;;;148743;;;;;;;;;;;;;Ophiactoidea;1079036;Ophintegrida;1062660;;;;;species;;;false;;;;;;;;;;;;;;;;;;;;no_depth
08f1ddd9-f390-480b-9ee3-d57aebac9276;Ophiothela mirabilis;Verrill;1908-02-18T12:00:00Z;120.4541702;5.411109924;USNM;Invertebrate Zoology: Echinoderms;41273.31456;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;National Museum of Natural History, Smithsonian Institution;;;PreservedSpecimen;;Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_p [...];false;;Ophiuroidea;123084;;;;;Philippines;;;;;;89e23fc8-3f61-4480-9de3-358fe6eefe0b;;-1.95247E+12;-1.95247E+12;-1.95247E+12;1908;18;;;;false;observedindividualcount=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
090593e7-a58b-47a9-be2f-7e863b23e56b;Ophiothela mirabilis;Verrill;1989-09-24T12:00:00Z;127.8766708;26.50667;USNM;Invertebrate Zoology: Echinoderms;E45140.353277;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;National Museum of Natural History, Smithsonian Institution;;;PreservedSpecimen;;Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_p [...];false;;Ophiuroidea;123084;;;;;Japan;;;;;;89e23fc8-3f61-4480-9de3-358fe6eefe0b;19/04/1995;6.22598E+11;6.22598E+11;6.22598E+11;1989;24;;;;false;temperature=26.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09927cc8-1d1e-4b37-bf25-56d76ff643ce;Ophiothela mirabilis;Verrill;1985-09-19T12:00:00Z;127.8766708;26.50667;USNM;Invertebrate Zoology: Echinoderms;E45026.353154;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;National Museum of Natural History, Smithsonian Institution;;;PreservedSpecimen;;Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_p [...];false;;Ophiuroidea;123084;;;;;Japan;;;;;;89e23fc8-3f61-4480-9de3-358fe6eefe0b;11/04/1995;4.95936E+11;4.95936E+11;4.95936E+11;1985;19;;;;false;temperature=28.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09b7810e-562f-4191-887c-52b2538c7586;Ophiothela mirabilis;Verrill;1963-03-21T12:00:00Z;98;7.566999912;USNM;Invertebrate Zoology: Echinoderms;E42809.351383;urn:lsid:marinespecies.org:taxname:213399;;false;;;;244093;;National Museum of Natural History, Smithsonian Institution;;;PreservedSpecimen;;Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_p [...];false;;Ophiuroidea;123084;;;;;Thailand;;;;;;89e23fc8-3f61-4480-9de3-358fe6eefe0b;;-2.14099E+11;-2.14099E+11;-2.14099E+11;1963;21;;;;false;observedindividualcount=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
