lon;lat;reference;Ocean
-80.172117;25.744931;Glynn et al., 2019;Atlantic
-80.155289;25.725575;Glynn et al., 2019;Atlantic
-80.108067;26.040825;Glynn et al., 2019;Atlantic
-63.263246;17.627686;GBIF;Atlantic
-62.631111;17.228333;Rich et al., 2020;Atlantic
-61.2661;13.1783;Hendler et al., 2012;Atlantic
-60.858361;14.775722;Ferry et al., 2020;Atlantic
-60.856028;14.685417;Ferry et al., 2020;Atlantic
-60.8411;11.1553;Hendler and Brugneaux 2013;Atlantic
-60.809528;14.645222;Ferry et al., 2020;Atlantic
-60.5186;11.3007;Hendler and Brugneaux 2013;Atlantic
-52.43;6.438333333;OBIS;Atlantic
-51.9586;4.9268;Hendler and Brugneaux 2013;Atlantic
-48.6376;-26.2334;Lawley et al., 2018;Atlantic
-48.5227;-26.3838;Lawley et al., 2018;Atlantic
-48.406306;-25.413806;Bumbeer and Rocha 2016;Atlantic
-48.368007;-25.73501;Bumbeer and Rocha 2016;Atlantic
-48.3669;-27.293;Present study;Atlantic
-48.364339;-25.551974;Bumbeer and Rocha 2016;Atlantic
-48.333485;-25.783381;Bumbeer and Rocha 2016;Atlantic
-48.3206;-25.583;Bumbeer and Rocha 2016;Atlantic
-46.296293;-24.025718;Hendler et al., 2012;Atlantic
-45.402778;-23.822222;Alitto et al., 2016;Atlantic
-44.659382;-0.606031;Moura et al., 2016;Atlantic
-44.2943;-23.1149;OBIS;Atlantic
-44.236067;-23.083403;Mantellato et al., 2016;Atlantic
-44.1542;-23.1344;Mantellato et al., 2016;Atlantic
-43.0854;-22.9856;Hendler et al., 2012;Atlantic
-42;-22.976389;Ribeiro et al., 2017;Atlantic
-41.904272;-22.755966;GBIF;Atlantic
-41.877584;-22.740636;GBIF;Atlantic
-40.35;-20.666667;GBIF;Atlantic
-40.250217;-20.354489;Hendler et al., 2012;Atlantic
-38.783333;-3.53333;Araújo et al., 2018;Atlantic
-38.5329;-13.0093;Hendler et al., 2012;Atlantic
-38.516667;-12.983333;GBIF;Atlantic
-34.8349;-8.0803;Mantellato et al., 2016;Atlantic
