lon;lat;reference;Ocean
-113.5075;28.992222;GBIF;Pacific
-113.506111;29.014722;GBIF;Pacific
-113.505;29.093333;GBIF;Pacific
-113.491389;29.039444;GBIF;Pacific
-113.475161;28.96835;GBIF;Pacific
-110.458333;24.591667;GBIF;Pacific
-110.408333;24.591667;GBIF;Pacific
-106.458333;23.225;GBIF;Pacific
-105.893389;21.855083;GBIF;Pacific
-105.583611;20.684722;GBIF;Pacific
-105.563917;20.703917;Granja-Fernández et al., 2017;Pacific
-105.399639;20.733306;Granja-Fernández et al., 2017;Pacific
-105.392997;20.506517;Granja-Fernández et al., 2017;Pacific
-105.292997;20.545786;Granja-Fernández et al., 2017;Pacific
-105.107778;19.556667;Granja-Fernández et al., 2014;Pacific
-104.755928;19.23125;Granja-Fernández et al., 2017;Pacific
-104.738336;19.238414;Granja-Fernández et al., 2017;Pacific
-104.435344;19.09675;Granja-Fernández et al., 2017;Pacific
-104.351842;19.104997;Granja-Fernández et al., 2017;Pacific
-104.304444;19.059167;Galván-Villa and Ríos-Jata, 2018;Pacific
-103.519167;18.3525;Granja-Fernández et al., 2014;Pacific
-103.463611;18.3125;GBIF;Pacific
-101.622364;17.653881;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.523956;17.620644;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.490722;17.532897;Granja-Fernández and Lopez-Perez, 2011;Pacific
-99.912222;16.823056;Granja-Fernández et al., 2014;Pacific
-99.901944;16.735278;GBIF;Pacific
-99.870605;16.846758;GBIF;Pacific
-98.776944;16.278056;GBIF;Pacific
-96.560083;-0.049367;GBIF;Pacific
-96.555167;15.660783;GBIF;Pacific
-96.499242;15.657019;GBIF;Pacific
-96.477222;15.673333;Granja-Fernández et al., 2014;Pacific
-96.371869;15.670936;GBIF;Pacific
-96.236944;15.687222;Granja-Fernández et al., 2014;Pacific
-96.143611;15.736389;Granja-Fernández et al., 2014;Pacific
-96.059722;15.780833;Granja-Fernández et al., 2014;Pacific
-95.57493;15.939306;GBIF;Pacific
-87.90000153;13.13749981;OBIS;Pacific
-87.075;5.525;GBIF;Pacific
-83.756954;9.144282;Alvarado and Fernández, 2005;Pacific
-83.740965;9.112481;Alvarado and Fernández, 2005;Pacific
-83.622778;8.783056;Azofeifa-Solano et al., 2017;Pacific
-82.60266876;4.008999825;OBIS;Pacific
-81.598485;4.004601;Neira and Cantera, 2005;Pacific
-81.594444;3.851944;Cohen-Rengifo et al., 2009;Pacific
-80.788533;-1.93395;Malavé, 2015;Pacific
-79.53;8.78;GBIF;Pacific
-79.51699829;8.967000008;OBIS;Pacific
-79.5;8.97;GBIF;Pacific
-78.207345;2.94774;Neira and Cantera, 2005;Pacific
-77.690997;6.830393;González et al., 2020;Pacific
-77.540438;6.688638;González et al., 2020;Pacific
-77.533828;5.496468;González et al., 2020;Pacific
-77.500796;6.645237;González et al., 2020;Pacific
-77.487622;5.616987;González et al., 2020;Pacific
-77.47497;6.304344;González et al., 2020;Pacific
-77.435885;6.69729;González et al., 2020;Pacific
-77.386634;5.628093;González et al., 2020;Pacific
-77.322209;3.966104;Neira and Cantera, 2005;Pacific
-77.309527;5.894226;González et al., 2020;Pacific
-77.297632;5.826319;González et al., 2020;Pacific
-77.29309;4.0015;GBIF;Pacific
30.458333;-30.783333;Clark, 1974;Pacific
30.8178;-30.2672;GBIF;Pacific
31.58300018;-29.35000038;OBIS;Pacific
31.7670002;-29.43300056;OBIS;Pacific
34.98300171;-24.79999924;OBIS;Pacific
35.29999924;-24.7670002;OBIS;Pacific
36.359339;-23.883161;GBIF;Pacific
39.97;-3.37;OBIS;Pacific
40.29169;-22.40263;GBIF;Pacific
40.3915;-22.31538;GBIF;Pacific
43.3071;11.95947;OBIS;Pacific
45.298332;-12.751667;OBIS;Pacific
52.414704;25.668374;Al-Ansi and Al-Khayat, 1999;Pacific
65.86699677;-21.35000038;OBIS;Pacific
71.21700287;18.45000076;OBIS;Pacific
78.63333333;8.866666667;OBIS;Pacific
79;8.5;OBIS;Pacific
80.3;13.1;OBIS;Pacific
86.53333333;19.78333333;OBIS;Pacific
90;15;OBIS;Pacific
92.01666667;12;OBIS;Pacific
92.33;20.45;GBIF;Pacific
92.6;11.5;OBIS;Pacific
92.816666;11.116667;OBIS;Pacific
92.91699982;19.83300018;OBIS;Pacific
93.83333333;12;OBIS;Pacific
98;7.566999912;OBIS;Pacific
98.38280556;7.745333333;OBIS;Pacific
99.973028;9.371198;OBIS;Pacific
100.295575;-1.073948;GBIF;Pacific
101.56925;12.55313889;OBIS;Pacific
103.6307;1.329517;Fujita and Irimura, 2015;Pacific
103.837748;1.230814;GBIF;Pacific
103.935467;1.429;Fujita and Irimura, 2015;Pacific
103.9924;1.4022;Fujita and Irimura, 2015;Pacific
104.079583;1.422367;Fujita and Irimura, 2015;Pacific
105.5328;-10.5126;GBIF;Pacific
113.409;-24.0137;OBIS;Pacific
113.4867;-22.4666;OBIS;Pacific
113.6453;-22.4802;OBIS;Pacific
113.9039;-21.9733;OBIS;Pacific
114.0142;-21.798;OBIS;Pacific
114.352;-21.6618;OBIS;Pacific
114.7345;-33.98185;OBIS;Pacific
114.892;-21.0317;OBIS;Pacific
114.908;-20.9896;OBIS;Pacific
116.4463;-20.6185;OBIS;Pacific
116.5148;-20.5095;OBIS;Pacific
116.5663;-20.6518;OBIS;Pacific
116.5698;-20.4626;OBIS;Pacific
116.6133;-20.489;OBIS;Pacific
116.7781;-20.3866;OBIS;Pacific
116.7952;-20.4863;OBIS;Pacific
116.843;-20.3523;OBIS;Pacific
116.8531;-20.5205;OBIS;Pacific
116.9175;-20.4008;OBIS;Pacific
117.333;-20.4833;OBIS;Pacific
118.45;-18.9;GBIF;Pacific
119.2555;-17.2555;OBIS;Pacific
119.3352;-17.2516;GBIF;Pacific
119.45;-18.4666;GBIF;Pacific
120.75;21.816;GBIF;Pacific
120.90129;13.65831;GBIF;Pacific
120.90945;13.692782;GBIF;Pacific
120.97222;13.52417;OBIS;Pacific
121.786;-15.0945;OBIS;Pacific
121.8412;-13.9352;GBIF;Pacific
122.92624;-12.24517;OBIS;Pacific
123.3717;-11.9633;GBIF;Pacific
125.2167;-14.2833;GBIF;Pacific
125.235389;1.444017;GBIF;Pacific
125.4167;-14.3666;GBIF;Pacific
125.616667;9.816667;GBIF;Pacific
125.6167;-13.9333;GBIF;Pacific
127.7133331;26.43499947;OBIS;Pacific
127.8483276;26.5;OBIS;Pacific
127.8516693;26.39999962;OBIS;Pacific
127.8766708;26.50667;OBIS;Pacific
129.4317;-10.93833;GBIF;Pacific
130.817;-12.4167;OBIS;Pacific
130.83299;-12.3833;OBIS;Pacific
132.063324;-11.17500019;OBIS;Pacific
132.082;-11.065;OBIS;Pacific
132.088;-11.0533;OBIS;Pacific
132.175;-11.2433;OBIS;Pacific
134.31;-9.41803;OBIS;Pacific
136.67;-12.22;OBIS;Pacific
145.27277;-14.85055;OBIS;Pacific
145.35;-14.783;OBIS;Pacific
145.45;-14.816;OBIS;Pacific
145.463;-14.6981;OBIS;Pacific
145.466;-14.666;OBIS;Pacific
145.664;-14.6641;OBIS;Pacific
147.27;-9.53;GBIF;Pacific
147.533;-18.8;OBIS;Pacific
147.68407;-18.83482;OBIS;Pacific
147.7;-18.966;OBIS;Pacific
148.716;-20.1;OBIS;Pacific
150.916;-23.583;OBIS;Pacific
150.96055;-23.1761;OBIS;Pacific
151.27499;-33.8;OBIS;Pacific
151.333;-23.833;OBIS;Pacific
151.633;-33.166;OBIS;Pacific
151.637918;-33.079678;GBIF;Pacific
151.90176;7.47795;Kerr et al., 2014;Pacific
151.916;-23.45;GBIF;Pacific
152.066;-32.616;GBIF;Pacific
152.15;-32.716;OBIS;Pacific
152.3355;-10.69533333;OBIS;Pacific
152.416;-21.716;GBIF;Pacific
152.5238333;-10.62783333;OBIS;Pacific
153.116;-26.616;OBIS;Pacific
153.133;-26.683;OBIS;Pacific
153.15;-30.316;OBIS;Pacific
153.183;-30.25;OBIS;Pacific
153.216;-30.166;OBIS;Pacific
153.266;-30.25;OBIS;Pacific
153.266;-30.2;OBIS;Pacific
153.4;-29.933;OBIS;Pacific
153.44166;-29.54166;OBIS;Pacific
153.633;-28.616;OBIS;Pacific
153.75;-28.866;OBIS;Pacific
158.284332;-19.4695;OBIS;Pacific
159.07166;-31.50333;OBIS;Pacific
161.018173;-20.548166;OBIS;Pacific
162.3329926;11.35000038;OBIS;Pacific
166.433;-22.266;OBIS;Pacific
167.016667;-20.75;Stöhr, 2011;Pacific
167.033333;-20.9;Stöhr, 2011;Pacific
167.116667;-20.783333;Stöhr, 2011;Pacific
167.395966;-22.746166;GBIF;Pacific
178.22;-17.3;GBIF;Pacific
178.460333;-18.8475;GBIF;Pacific
178.538667;-18.706833;GBIF;Pacific
