lon;lat;species;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
-80.172117;25.744931;Ophiothela mirabilis;616078;0.009471;36.10900116;8.211000443;26.5720005;8.829000473;0.091686524;1
-80.155289;25.725575;Ophiothela mirabilis;616079;0.004626;36.10400009;8.211000443;26.67900085;7.382999897;0.114228077;1
-80.108067;26.040825;Ophiothela mirabilis;601679;0.000224;36.10300064;8.210000038;26.66900063;6.804999828;0.145020753;1
-61.2661;13.1783;Ophiothela mirabilis;1156305;6.50E-05;34.97399902;8.152999878;28.28300095;2.704999924;0.00447175;1
-60.858361;14.775722;Ophiothela mirabilis;1087910;0.000483;34.87599945;8.180999756;27.95499992;3.038000107;0.006009276;1
-60.856028;14.685417;Ophiothela mirabilis;1091510;0.000274;34.86700058;8.180999756;28.01600075;3.207999945;0.139435753;1
-60.8411;11.1553;Ophiothela mirabilis;1246310;0.000496;35.26800156;8.069000244;28.20999908;3.062999964;0.329809278;1
-60.809528;14.645222;Ophiothela mirabilis;1095111;7.40E-05;34.85499954;8.180000305;27.91900063;3.051000118;0.007461885;1
-60.5186;11.3007;Ophiothela mirabilis;1239114;9.50E-05;35.16500092;8.086999893;28.13500023;3.253000021;0.177260995;1
-51.9586;4.9268;Ophiothela mirabilis;1512817;0.0103;28.8409996;8.069999695;28.35000038;1.812999964;0.37716642;1
-48.6376;-26.2334;Ophiothela mirabilis;2859257;0.0066;34.87599945;8.059000015;23.80200005;8.215999603;0.372920752;1
-48.5227;-26.3838;Ophiothela mirabilis;2866458;0.003582;34.94499969;8.059000015;23.2670002;7.848999977;0.362157524;1
-48.406306;-25.413806;Ophiothela mirabilis;2823260;0.009849;34.87900162;8.059000015;24.80599976;8.052000046;0.068120524;1
-48.368007;-25.73501;Ophiothela mirabilis;2837660;0.003419;34.94499969;8.06000042;23.68400002;7.774000168;0.34104383;1
-48.3669;-27.293;Ophiothela mirabilis;2906060;0.002393;35.16600037;8.065999985;22.39299965;7.616000175;1.153645992;1
-48.364339;-25.551974;Ophiothela mirabilis;2830460;0.008074;34.91500092;8.06000042;24.3409996;9.406999588;0.346138984;1
-48.333485;-25.783381;Ophiothela mirabilis;2841260;0.002367;34.95899963;8.06000042;23.62100029;7.822999954;0.547134101;1
-48.3206;-25.583;Ophiothela mirabilis;2830461;0.01116;34.9640007;8.06000042;23.9090004;7.649000168;1.045962572;1
-46.296293;-24.025718;Ophiothela mirabilis;2765685;0.007059;35.40800095;8.05700016;24.49600029;6.467000008;1.642854929;1
-45.402778;-23.822222;Ophiothela mirabilis;2754896;0.00452;35.57699966;8.05700016;24.92000008;8.460000038;0.742389202;1
-44.659382;-0.606031;Ophiothela mirabilis;1754105;0.000192;35.68099976;7.875;27.86700058;1.746999979;0.086915836;1
-44.236067;-23.083403;Ophiothela mirabilis;2726110;0.001214;35.47700119;8.069000244;24.9260006;5.489999771;0.159967795;1
-44.1542;-23.1344;Ophiothela mirabilis;2726111;0.001435;35.50099945;8.072999954;24.51300049;4.778999805;1.022013545;1
-43.0854;-22.9856;Ophiothela mirabilis;2718923;0.001746;35.5379982;8.107000351;24.20000076;3.602999926;0.282173336;1
-42;-22.976389;Ophiothela mirabilis;2718937;0.001185;35.69400024;8.135000229;23.6420002;4.40500021;0.345022291;1
-40.250217;-20.354489;Ophiothela mirabilis;2607357;0.005089;36.40100098;8.041000366;24.37599945;3.243999958;0.194640338;1
-38.783333;-3.53333;Ophiothela mirabilis;1880175;0.008311;36.29499817;8.126999855;28.26799965;2.822999954;0.068007715;1
-38.5329;-13.0093;Ophiothela mirabilis;2290578;0.001658;37.10900116;8.074000359;26.95700073;3.444000006;0.02380635;1
-34.8349;-8.0803;Ophiothela mirabilis;2074622;0.004096;36.73699951;8.147999763;28.14900017;3.252000093;0.089968383;1
-62.631111;17.228333;Ophiothela mirabilis;983489;0.000174;35.20000076;8.196000099;27.71999931;2.974999905;0.040409509;1
-83.740965;9.112481;Ophiothela mirabilis;1332436;0.003254;32.26300049;8.055000305;30.03800011;2.025000095;0.433181852;1
-83.756954;9.144282;Ophiothela mirabilis;1332435;0.002684;32.29299927;8.05700016;29.75399971;1.771999955;0.305557996;1
-83.622778;8.783056;Ophiothela mirabilis;1346837;0.0032;32.13800049;8.052000046;29.79299927;2.467000008;0.466404408;1
