lon;lat;species;reference;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
-71.72777557;12.4958334;Carijoa riisei;OBIS;1188580;0.028243;35.98899841;8.072999954;26.69400024;3.645999908;0.28066963;1
-38.703611;-18.003889;Carijoa riisei;OBIS;2506576;0.001923;37.10900116;8.062999725;26.20400047;3.538000107;0.124974415;1
-39.071389;-16.975278;Carijoa riisei;OBIS;2459772;0.013374;37.11899948;8.06799984;26.30800056;3.038000107;0.12016198;1
-71.73860931;12.50972176;Carijoa riisei;OBIS;1184980;0.00262;35.97499847;8.074000359;26.37999916;4.256000042;0.006636552;1
-97;26.43000031;Carijoa riisei;OBIS;583477;0.002192;33.83599854;8.145999908;24.38500023;10.92399979;0.104894549;1
-39.011111;-17.813056;Carijoa riisei;OBIS;2495772;0.009472;37.07500076;8.06000042;26.40200043;3.447000027;0.139476255;1
-45.5675;-23.8786;Carijoa riisei;OBIS;2758494;0.004247;35.57099915;8.05700016;24.76000023;6.263999939;0.770401657;1
-73.47166443;11.40638924;Carijoa riisei;OBIS;1235359;0.001111;35.95600128;8.022000313;27.45100021;4.462999821;0.065099336;1
-70.40811157;12.21586037;Carijoa riisei;OBIS;1199396;0.000681;36.16400146;8.097999573;26.52700043;4.374000072;0.268939495;1
-72.45777893;11.78085232;Carijoa riisei;OBIS;1217371;0.011323;35.99399948;8.046999931;28.00399971;3.982000113;0.221094891;1
-39.013056;-17.506111;Carijoa riisei;OBIS;2484972;0.004956;37.09000015;8.062000275;26.37299919;3.315999985;0.123326369;1
-72.63833618;12.05472183;Carijoa riisei;OBIS;1206569;0.000228;35.96500015;8.046999931;26.84300041;4.531000137;0.104853161;1
-74.26899719;11.33666706;Carijoa riisei;OBIS;1235349;0.000781;35.89899826;8.008999825;27.3579998;4.178999901;0.0044961;1
-45.0975;-23.5231;Carijoa riisei;OBIS;2744099;0.003845;35.50400162;8.055999756;24.86800003;5.515999794;0.215624139;1
-71.79372406;12.4396944;Carijoa riisei;OBIS;1188579;0.003362;35.98199844;8.071000099;26.13999939;4.196000099;0.062290326;1
-39.000833;-17.708056;Carijoa riisei;OBIS;2492172;0.01049;37.08000183;8.06000042;26.37400055;3.375999928;0.129684925;1
-38.590556;-18.101944;Carijoa riisei;OBIS;2510177;0.001366;37.11700058;8.06400013;26.11899948;3.415999889;0.136187136;1
-39.027778;-17.478333;Carijoa riisei;OBIS;2481372;0.0031;37.09500122;8.062999725;26.27499962;3.186000109;0.130817965;1
-72.62000275;11.88944435;Carijoa riisei;OBIS;1213769;0.001582;35.98199844;8.045000076;26.99399948;4.56799984;0.184136793;1
-72.39083099;12.08036137;Carijoa riisei;OBIS;1206572;0.000575;35.98600006;8.052000046;26.67000008;4.842000008;0.156058624;1
-71.75583649;12.50916672;Carijoa riisei;OBIS;1184979;0.001641;35.96900177;8.07199955;26.37299919;4.177000046;0.007222982;1
-45.4961;-23.8411;Carijoa riisei;OBIS;2758495;0.007432;35.59799957;8.05700016;24.62800026;5.993999958;0.567272723;1
-74.22118378;11.24473667;Carijoa riisei;OBIS;1242550;0.001671;35.89799881;8.010000229;28.8029995;5.909999847;0.243297487;1
-70.60681915;11.98036003;Carijoa riisei;OBIS;1210193;0.000315;36.20899963;8.093000412;27.08200073;4.087999821;0.253364652;1
-39.113333;-16.951389;Carijoa riisei;OBIS;2459771;0.015852001;37.11100006;8.065999985;26.63899994;3.256000042;0.126845092;1
-94.94999695;28.62999916;Carijoa riisei;OBIS;489901;0.002041;32.70299911;8.116000175;23.9640007;13.22999954;0.125197381;1
-38.971111;-17.426111;Carijoa riisei;OBIS;2481373;0.001411;37.10499954;8.06400013;26.32799911;3.226000071;0.118612975;1
-39.050833;-17.605278;Carijoa riisei;OBIS;2488572;0.009265;37.08499908;8.06099987;26.39100075;3.362999916;0.125589415;1
-39;-18.028333;Carijoa riisei;OBIS;2506573;0.003477;37.07099915;8.059000015;26.19799995;3.512000084;0.139911294;1
-45.4389;-23.8325;Carijoa riisei;OBIS;2754895;0.0058;35.55099869;8.055999756;25.49600029;9.852000237;1.122625113;1
-70.57505035;11.95582962;Carijoa riisei;OBIS;1210194;0.00026;36.21699905;8.093999863;27.06299973;4.116000175;0.252109647;1
-39.051111;-16.882778;Carijoa riisei;OBIS;2456172;0.007937;37.1230011;8.06799984;26.35199928;3.163000107;0.132500723;1
-75.54784393;10.37748814;Carijoa riisei;OBIS;1278534;0.004043;35.86100006;8.024000168;30.18300056;2.930999994;0.056565057;1
-39.272778;-17.996111;Carijoa riisei;OBIS;2502969;0.025084;37.02299881;8.053999901;26.64900017;3.84800005;0.14676258;1
-39.135278;-17.421944;Carijoa riisei;OBIS;2481371;0.006748;37.08399963;8.06099987;26.39800072;3.359999895;0.145979971;1
-45.1567;-23.5881;Carijoa riisei;OBIS;2747699;0.002479;35.55599976;8.05700016;24.55500031;5.376999855;0.415234894;1
-38.966389;-17.682222;Carijoa riisei;OBIS;2492173;0.007841;37.09199905;8.062000275;26.33699989;3.372999907;0.134339213;1
-87.33999634;29.70000076;Carijoa riisei;OBIS;443192;0.000286;33.86399841;8.067000389;24.56500053;10.99300003;0.277016789;1
-95.58000183;28.18000031;Carijoa riisei;OBIS;507894;0.000998;33.83100128;8.123000145;24.34900093;11.70100021;0.130684197;1
-70.32111359;12.25479031;Carijoa riisei;OBIS;1195797;0.001358;36.14699936;8.100000381;26.48600006;4.004000187;0.288257569;1
-75.65914154;10.37606239;Carijoa riisei;OBIS;1278533;0.002046;35.85900116;8.024000168;29.25900078;3.130000114;0.279571235;1
-72.38102722;12.09044456;Carijoa riisei;OBIS;1202972;0.000334;35.97700119;8.05300045;26.63999939;4.708000183;0.26865229;1
-74.6384964;11.25500011;Carijoa riisei;OBIS;1238945;0.001406;35.88499832;8.005999565;27.63899994;4.05700016;0.00446198;1
-72.57924652;11.96030521;Carijoa riisei;OBIS;1210170;0.0004;35.98099899;8.048000336;26.84000015;4.573999882;0.21917738;1
-38.966111;-17.988611;Carijoa riisei;OBIS;2502973;0.003878;37.07699966;8.059000015;26.31800079;3.512000084;0.145460591;1
-39.218611;-17.955;Carijoa riisei;OBIS;2502970;0.019125;37.03699875;8.055000305;26.49399948;3.605999947;0.144818604;1
-97.58000183;22.54000092;Carijoa riisei;OBIS;752670;0.000683;36.08499908;8.180999756;26.49200058;8.112999916;0.250597596;1
-38.659722;-17.980833;Carijoa riisei;OBIS;2502977;0.002502;37.125;8.06499958;26.1439991;3.45600009;0.113861211;1
-39.091389;-16.895833;Carijoa riisei;OBIS;2456171;0.012341;37.11399841;8.067000389;26.54400063;3.273999929;0.129471451;1
-75.59384155;10.33088684;Carijoa riisei;OBIS;1282133;0.001213;35.86100006;8.027000427;29.54100037;3.002000093;0.275725931;1
-72.59474945;11.95552731;Carijoa riisei;OBIS;1210169;0.000283;35.97299957;8.045999527;26.8239994;4.481999874;0.181613982;1
-71.98139191;12.34233379;Carijoa riisei;OBIS;1192177;0.00183;35.98099899;8.065999985;26.09600067;4.296000004;0.280440658;1
-97.05000305;26.32999992;Carijoa riisei;OBIS;590676;0.003437;33.88700104;8.147999763;24.29100037;11.16399956;0.082758963;1
-39.018333;-18.011111;Carijoa riisei;OBIS;2506572;0.003584;37.05799866;8.05700016;26.27700043;3.549999952;0.14202714;1
-62.755904;17.34338;Carijoa riisei;GBIF;976287;6.10E-05;35.24700165;8.19699955;27.74300003;3.743999958;0.009158555;1
-104.304528;19.059179;Carijoa riisei;GBIF;903789;0.000359;34.29700089;8.256999969;29.00200081;7.063000202;0.354751974;1
-104.396267;19.107105;Carijoa riisei;GBIF;900188;0.000351;34.29399872;8.258000374;28.24099922;5.822000027;0.265341371;1
151.280541;-33.843668;Carijoa riisei;GBIF;3192856;0.000263;35.51699829;8.312000275;20.24699974;5.250999928;0.389700651;1
151.640493;-33.086223;Carijoa riisei;GBIF;3160460;0.000754;35.4679985;8.317000389;21.34300041;10.61400032;0.503478825;1
-61.128887;14.630833;Carijoa riisei;GBIF;1095107;0.001855;34.87599945;8.17800045;28.20999908;3.144999981;0.004532462;1
-61.040555;14.443333;Carijoa riisei;GBIF;1102308;7.20E-05;34.86100006;8.177000046;28.05800056;2.898000002;0.004516492;1
-78.206681;2.954286;Carijoa riisei;GBIF;1598902;0.001138;31.00300026;7.986000061;27.54800034;1.279999971;0.004364579;1
-77.69348;6.83682;Carijoa riisei;GBIF;1429708;0.000531;30.23900032;7.992000103;28.52899933;2.191999912;0.005727295;1
-81.876333;24.978333;Carijoa riisei;GBIF;648458;0.006318;36.43600082;8.201000214;26.04700089;10.05599976;0.055183295;1
-77.356298;6.000704;Carijoa riisei;GBIF;1465712;0.000388;30.12100029;7.973999977;29.10499954;1.835000038;0.045333069;1
-78.164556;3.004444;Carijoa riisei;GBIF;1595303;0.000824;30.92700005;7.982999802;27.49200058;0.989000022;0.023285631;1
-78.169361;3.004306;Carijoa riisei;GBIF;1595302;0.000794;30.97800064;7.984000206;27.47599983;1.175999999;0.004362296;1
-87.5776;29.4391;Carijoa riisei;GBIF;453990;0.000267;34.0909996;8.07199955;24.74799919;10.58500004;0.048561782;1
-96.861444;26.194778;Carijoa riisei;GBIF;594278;0.00185;34.15999985;8.147999763;24.51799965;10.83500004;0.1106259;1
-80.16;25.733167;Carijoa riisei;GBIF;616079;0.004626;36.10400009;8.211000443;26.67900085;7.382999897;0.114228077;1
-85.7185;29.164333;Carijoa riisei;GBIF;468412;0.000174;34.89699936;8.078000069;24.74600029;10.44999981;0.079572096;1
-81.078833;30.702;Carijoa riisei;GBIF;400068;0.000867;34.10200119;8.251999855;22.7840004;12.58300018;0.652666748;1
-81.461167;24.5305;Carijoa riisei;GBIF;666463;0.005891;36.50099945;8.211999893;26.82699966;7.59100008;0.262725919;1
-80.316667;27.466667;Carijoa riisei;GBIF;540477;0.008626;36.14199829;8.213000298;25.41500092;8.100000381;0.313103735;1
-95.5;28.33;Carijoa riisei;GBIF;504295;0.001164;33.60900116;8.121999741;24.29100037;12.23600006;0.136091024;1
-81.536333;25.178389;Carijoa riisei;GBIF;637662;0.013308;36.35400009;8.201999664;26.13299942;10.15400028;0.057800811;1
-81.769222;25.624611;Carijoa riisei;GBIF;619659;0.008882;36.13199997;8.19299984;25.92099953;11.01900005;0.059636995;1
152.3355;-10.695333;Carijoa riisei;GBIF;2192069;0.049224;34.80500031;8.345000267;28.67099953;3.244999886;0.004414857;1
150.7125;-10.260833;Carijoa riisei;GBIF;2174049;0.00015;34.69900131;8.362999916;28.53100014;4.258999825;0.250920922;1
-90.092;28.5222;Carijoa riisei;GBIF;493559;0.000896;31.31599998;8.093999863;25.02700043;10.67199993;0.253481954;1
-74.222917;11.251789;Carijoa riisei;GBIF;1238950;0.000789;35.89400101;8.008999825;27.44799995;4.372000217;0.040742014;1
-71.981972;12.188167;Carijoa riisei;GBIF;1199377;0.007709;35.99399948;8.06400013;28.06100082;3.796000004;0.010201994;1
129.333333;28.127778;Carijoa riisei;GBIF;514192;7.90E-05;34.63299942;8.248999596;24.62400055;8.68200016;0.35102427;1
125.13;24.82;Carijoa riisei;GBIF;658142;6.80E-05;34.52000046;8.222999573;26.0909996;6.231999874;0.015858687;1
127.87;26.68;Carijoa riisei;GBIF;575375;7.20E-05;34.47999954;8.243000031;25.05999947;7.916999817;0.011708423;1
-80.809;30.331667;Carijoa riisei;GBIF;418071;0.000458;35.21300125;8.243000031;23.99399948;9.586000443;0.783227384;1
-82.2103;26.2978;Carijoa riisei;GBIF;590854;0.006389;35.73099899;8.175000191;25.58099937;11.9659996;0.059271093;1
-81.6633;25.2967;Carijoa riisei;GBIF;634061;0.010012;36.31900024;8.199999809;26.09000015;10.39999962;0.057431318;1
-81.8;25.2944;Carijoa riisei;GBIF;634059;0.005853;36.30899811;8.197999954;25.9470005;10.61600018;0.049643628;1
127.7;26.68;Carijoa riisei;GBIF;575373;7.10E-05;34.45899963;8.241999626;25.24099922;8.065999985;0.01417535;1
-44.2933;-23.1133;Carijoa riisei;GBIF;2726109;0.000327;35.45500183;8.067000389;25.24600029;5.822000027;0.013283134;1
-87.3333;29.7;Carijoa riisei;GBIF;443193;0.000296;33.91600037;8.065999985;24.64599991;10.66100025;0.020138873;1
-45.415;-23.8267;Carijoa riisei;GBIF;2754896;0.00452;35.57699966;8.05700016;24.92000008;8.460000038;0.742389202;1
-80.6;30.9117;Carijoa riisei;GBIF;392873;0.000436;35.25699997;8.251999855;23.2840004;10.81700039;0.835989654;1
-59.616667;13.083333;Carijoa riisei;GBIF;1163525;7.50E-05;34.77799988;8.171999931;28.0890007;2.686000109;0.004761078;1
-90.4089;28.5692;Carijoa riisei;GBIF;493556;0.001497;31.19799995;8.095000267;24.88699913;11.14900017;0.154741764;1
-82.0175;26.263888;Carijoa riisei;GBIF;590856;0.00884;35.73400116;8.17800045;25.6590004;11.71399975;0.06031708;1
-87.93;17.17;Carijoa riisei;GBIF;983185;0.000167;36.12099838;8.069000244;28.43899918;3.592999935;0.005834522;1
-71.88;12.4;Carijoa riisei;GBIF;1192178;0.004025;35.98799896;8.06799984;26.20999908;4.322999954;0.232143566;1
-86.0333;15.9867;Carijoa riisei;GBIF;1037208;0.001166;36.07099915;8.022000313;28.52599907;3.763999939;0.035506357;1
-87.5367;15.9383;Carijoa riisei;GBIF;1037190;0.002154;36.08399963;8.029999733;28.92399979;4.206999779;0.138461381;1
-86.0917;15.9917;Carijoa riisei;GBIF;1037207;0.000895;36.06399918;8.027999878;28.57799911;3.825999975;0.043710869;1
