"modelID";"AUC";"Deviance";"TSS";"threshold"
1;0.986;0.0845590007771877;0.921;0.0242455340921879
2;0.99;0.0763375182713084;0.949;0.161586984992027
3;0.984;0.104449760645065;0.932;0.0726394057273865
4;0.987;0.111366430734722;0.928;0.143988355994225
5;0.986;0.0866189811804569;0.912;0.0403918288648129
6;0.984;0.115988119767103;0.91;0.0190733578056097
7;0.98;0.112905727879994;0.885;0.00538274087011814
8;0.989;0.0885148188334694;0.942;0.373679220676422
9;0.989;0.106782629526051;0.932;0.165847286581993
10;0.975;0.111532547657341;0.867;0.00276364316232502
11;0.986;0.112131953669748;0.931;0.0363353677093983
12;0.979;0.124588850244958;0.923;0.0365134850144386
13;0.984;0.100099664495521;0.913;0.0667163580656052
14;0.986;0.127269360112078;0.929;0.110744766891003
15;0.986;0.083850098305053;0.93;0.017182556912303
16;0.993;0.0929072284660937;0.968;0.341901212930679
17;0.986;0.116745430548228;0.936;0.236697360873222
18;0.98;0.107256540532011;0.872;0.00750823179259896
19;0.99;0.10239279542596;0.959;0.140004590153694
20;0.98;0.123644507407406;0.885;0.128143161535263
21;0.988;0.0873418932683376;0.945;0.239900723099709
22;0.983;0.133925903227689;0.933;0.106978975236416
23;0.994;0.0859983182765347;0.972;0.34055957198143
24;0.987;0.0968379684036276;0.927;0.353985071182251
25;0.988;0.0862636421723415;0.943;0.156344026327133
26;0.983;0.0823283759911368;0.927;0.0300456173717976
27;0.983;0.0889408029085351;0.913;0.00401725573465228
28;0.987;0.109713354204041;0.926;0.0537927523255348
29;0.98;0.10585650802092;0.903;0.00699477316811681
30;0.988;0.0940562021778955;0.961;0.19310250878334
31;0.99;0.093284073798264;0.941;0.0720020160079002
32;0.987;0.0825606230004579;0.943;0.0273852199316025
33;0.981;0.098405154656038;0.915;0.0099692614749074
34;0.985;0.0912104147302365;0.921;0.0844105705618858
35;0.987;0.106065917553019;0.933;0.145605638623238
36;0.984;0.12189728487469;0.924;0.344598978757858
37;0.989;0.0887025891949843;0.949;0.112898357212543
38;0.985;0.0907502565909405;0.925;0.0323914438486099
39;0.977;0.1097028201008;0.865;0.0166700873523951
40;0.987;0.0941776311697626;0.911;0.20933498442173
41;0.987;0.0979324586794944;0.938;0.238767609000206
42;0.987;0.0814903115608734;0.939;0.118092745542526
43;0.98;0.111917201162382;0.872;0.326801896095276
44;0.991;0.0967522601646569;0.942;0.06329695135355
45;0.989;0.10415211115245;0.943;0.0855031758546829
46;0.99;0.0978304155967708;0.949;0.110256746411324
47;0.979;0.100598093755744;0.922;0.0178370829671621
48;0.984;0.109930873020839;0.913;0.0292528700083494
49;0.979;0.116999254974441;0.899;0.00236455746926367
50;0.987;0.0964451582505955;0.937;0.0621968694031239
51;0.978;0.0981511670806574;0.89;0.231706142425537
52;0.983;0.101861028273769;0.914;0.026595601812005
53;0.987;0.117789581346259;0.935;0.274152308702469
54;0.979;0.106000518515069;0.884;0.0752701982855797
55;0.986;0.101083555793744;0.941;0.196008667349815
56;0.984;0.113326089673624;0.917;0.177104890346527
57;0.988;0.100429063879635;0.935;0.0575038641691208
58;0.976;0.108997199413492;0.884;0.0827606618404388
59;0.972;0.107888673289141;0.88;0.169218584895134
60;0.984;0.0930353258702529;0.937;0.0906037762761116
61;0.991;0.0868802953301683;0.955;0.347598731517792
62;0.988;0.0853100495105988;0.925;0.173666059970856
63;0.982;0.11531069593715;0.951;0.126972958445549
64;0.989;0.0930092652109993;0.933;0.131363853812218
65;0.983;0.0852503876413206;0.91;0.068178653717041
66;0.987;0.0929382820604337;0.936;0.0522358901798725
67;0.987;0.0978352833138842;0.922;0.27047735452652
68;0.986;0.110875415956959;0.933;0.371128857135773
69;0.984;0.100198456263353;0.904;0.272882550954819
70;0.98;0.0831499533498909;0.907;0.0843942165374756
71;0.991;0.0658182423347879;0.907;0.0132566304117614
72;0.938;0.0962002383160086;0.891;0.0143843580916181
73;0.918;0.0970329562838392;0.86;0.0273794007649813
74;0.936;0.102094273010045;0.896;0.0135431607071506
75;0.951;0.0949027293878075;0.905;0.0125257310313464
76;0.959;0.120932239183877;0.902;0.0124040784518571
77;0.952;0.113202481335505;0.853;0.012858389065428
78;0.944;0.0787710802214275;0.884;0.0147976511737751
79;0.984;0.0876034891575336;0.95;0.0144520863873605
80;0.972;0.102015523282578;0.934;0.0135195152777729
81;0.963;0.126064589970275;0.903;0.0131419696440691
82;0.963;0.102658726716829;0.851;0.0134912877172767
83;0.965;0.0906388529924206;0.932;0.0196702620941637
84;0.898;0.125053553516561;0.868;0.0204599314677688
85;0.964;0.0792315661449831;0.883;0.0132712269033423
86;0.968;0.0785733130851114;0.923;0.0222357613745468
87;0.961;0.0886483858634601;0.943;0.0256960097724546
88;0.957;0.0889818899828761;0.869;0.0161310262328792
89;0.976;0.097928306166741;0.95;0.016800674395394
90;0.934;0.0864086481933894;0.806;0.0121048194583638
91;0.992;0.103258453170086;0.956;0.0156001996863046
92;0.98;0.105811866361932;0.945;0.0132928486155397
93;0.994;0.0663200888509495;0.968;0.0155442066007529
94;0.933;0.0834448597207963;0.904;0.0207726345915443
95;0.891;0.0972552947372335;0.864;0.0255071757538528
96;0.957;0.0641916812426418;0.899;0.0131081856185955
97;0.92;0.0851572307880031;0.833;0.0116503367886803
98;0.981;0.114043076678797;0.93;0.0131828332732809
99;0.936;0.102794218896186;0.887;0.0181175761729971
100;0.974;0.102507379488385;0.913;0.0127883089354104
101;0.972;0.0639736279244051;0.949;0.029320144060579
102;0.971;0.0882037708298116;0.951;0.0184948024858798
103;0.892;0.0874468063510606;0.793;0.0148703019220844
104;0.984;0.0869323911158719;0.92;0.0129791463545356
105;0.955;0.0974943461675441;0.912;0.0342144469746231
106;0.939;0.0934035835387034;0.901;0.0172237597354694
107;0.974;0.088472520094872;0.921;0.0129945472388555
108;0.943;0.0902605781983823;0.903;0.0165248781499231
109;0.923;0.092893531131032;0.859;0.0132360589263724
110;0.941;0.0889580484649028;0.907;0.0166420315311097
111;0.975;0.0810397234261801;0.924;0.0252872283214716
112;0.956;0.0771127732738835;0.93;0.0248951390968268
113;0.941;0.104342169731191;0.819;0.0120768992330336
114;0.963;0.0719612199129193;0.915;0.0141841261674154
115;0.932;0.0916380568560292;0.889;0.0329944569403277
116;0.993;0.0742692691616392;0.973;0.0183320721027038
