"modelID";"AUC";"Deviance";"TSS";"threshold"
1;0.961;0.0279764743267226;0.806;0.00231250817887485
2;0.994;0.0241421162067244;0.961;0.0275180172175169
3;0.997;0.0558179074053494;0.99;0.605863451957703
4;0.993;0.0372017842269525;0.973;0.121572315692902
5;0.983;0.026518787070382;0.903;0.00143746484536678
6;0.991;0.0520197346868023;0.948;0.012198711745441
7;0.999;0.0182288652986104;0.998;0.641939699649811
8;0.988;0.0582094576001774;0.949;0.0162950474768877
9;0.987;0.0356048379540795;0.946;0.00160883006174117
10;0.996;0.0413089679945238;0.97;0.0961463153362274
11;0.987;0.0322283486036015;0.907;0.00173466163687408
12;0.99;0.0392639569510905;0.965;0.0867625772953033
13;0.986;0.0651108933935451;0.931;0.00708223460242152
14;0.995;0.030036495269683;0.973;0.0679819956421852
15;0.997;0.0720264345698937;0.989;0.622111618518829
16;0.994;0.047296866118602;0.947;0.0256838351488113
17;0.998;0.047957396626884;0.984;0.335797518491745
18;0.992;0.0270485189721511;0.957;0.00570483133196831
19;0.972;0.0411882821739723;0.9;0.00122796336654574
20;0.989;0.0782721763232465;0.95;0.0305490754544735
21;0.992;0.0381438765480134;0.958;0.0490246787667274
22;0.989;0.0350492878647514;0.972;0.0464661084115505
23;0.991;0.0474954724489787;0.97;0.210862562060356
24;0.971;0.0470490093509462;0.917;0.000862213142681867
25;0.988;0.0495468615110875;0.944;0.00633786665275693
26;0.992;0.0428734990467892;0.958;0.0565827712416649
27;0.993;0.0289672448799585;0.972;0.0404818244278431
28;0.991;0.0513775798440754;0.944;0.00705918530002236
29;0.981;0.0677050272404453;0.914;0.003153036814183
30;0.991;0.0723796305301603;0.953;0.044247929006815
31;0.983;0.0688827008681594;0.955;0.0402508080005646
32;0.984;0.0744269882460015;0.965;0.229605540633202
33;0.991;0.0478923866875596;0.975;0.204445958137512
34;0.977;0.0572735921707855;0.918;0.00507375737652183
35;0.999;0.0520253564154126;0.997;0.786870241165161
36;0.993;0.0832347851173505;0.976;0.453916996717453
37;0.992;0.0423615129870315;0.956;0.00833498127758503
38;0.992;0.0397918677227973;0.974;0.0774414762854576
39;0.994;0.0699663468093609;0.983;0.420710861682892
40;0.999;0.0288350259323815;0.99;0.338759809732437
41;0.997;0.0424524782581336;0.991;0.479782819747925
42;0.988;0.0427463691616991;0.954;0.0150274271145463
43;0.974;0.0347995809508896;0.947;0.00734383426606655
44;0.993;0.0682380346592791;0.955;0.150460630655289
45;0.99;0.0665856461326355;0.972;0.315132319927216
46;0.952;0.0560837190775353;0.866;0.00415827287361026
47;0.99;0.0764381451099748;0.978;0.352149397134781
48;0.987;0.0615621793654746;0.961;0.148347795009613
49;0.998;0.0421467850624357;0.989;0.425969034433365
50;0.985;0.0392465501302247;0.948;0.0206879395991564
51;0.994;0.0483952549482928;0.971;0.164665937423706
52;0.994;0.053570165984688;0.978;0.273889809846878
53;0.906;0.0579787449395132;0.722;0.00394362490624189
54;0.995;0.0578264040253413;0.979;0.380755484104156
55;0.992;0.0620465749971095;0.93;0.00392664689570665
56;0.997;0.0419842425992532;0.993;0.5134357213974
57;0.997;0.0256842147213797;0.993;0.322099208831787
58;0.872;0.0570531172631797;0.855;0.347739607095718
59;0.996;0.0617882696561777;0.988;0.526109516620636
60;0.985;0.0788299349254948;0.947;0.0124233523383737
61;0.996;0.0232049898921852;0.98;0.161627560853958
62;0.996;0.0496156484203404;0.984;0.43194392323494
63;0.986;0.0393995205087391;0.951;0.0130897453054786
64;0.992;0.0991356720786275;0.963;0.372749924659729
65;0.962;0.0430684525681546;0.867;0.00168354471679777
66;0.999;0.0682042127854869;0.995;0.656117677688599
67;0.998;0.072792691912899;0.995;0.787828981876373
68;0.976;0.0337717633356952;0.902;0.00118902383837849
69;0.991;0.0603867792836453;0.967;0.186229065060616
70;0.995;0.0212155945314448;0.98;0.0859943926334381
71;0.83;0.0349790006919899;0.729;0.00678061385026721
72;0.997;0.0273495898228993;0.986;0.00820524992610499
73;0.998;0.0339307545645359;0.989;0.00666318232120276
74;0.995;0.0290057378467217;0.985;0.00707389398173587
75;0.997;0.0301173351278211;0.988;0.00716680641095686
76;0.989;0.0391470995343532;0.953;0.00470299735561176
77;1;0.0150089292074845;0.999;0.0358335235697326
78;0.888;0.0326069495705678;0.749;0.00502054736186847
79;0.918;0.0409810822765218;0.849;0.00515784840041486
80;0.999;0.0346338656127303;0.995;0.00876080130249115
81;0.885;0.0285497394695265;0.873;0.0121261493143515
82;0.997;0.0223017053819217;0.987;0.00996246879581411
83;0.823;0.0409087611882102;0.71;0.00579214474197161
84;0.977;0.0290565029143502;0.872;0.0107156123295125
85;0.999;0.0322958291143674;0.997;0.00856003587382571
86;0.979;0.0289037332687736;0.898;0.0242283627538959
87;0.813;0.0375184574860015;0.799;0.0164546963254957
88;0.995;0.0344160335974544;0.982;0.00656453497365857
89;0.7;0.0588073582285766;0.624;0.00506594686593627
90;0.905;0.0455563008586092;0.721;0.00390028940089832
91;0.949;0.0352886502007686;0.911;0.0081422596037198
92;0.87;0.0288543030900335;0.859;0.0137820309630003
93;0.864;0.025687538620744;0.821;0.00644422161601975
94;0.886;0.0355756220823754;0.764;0.0100957736419026
95;0.813;0.0308810228826983;0.65;0.00501219065968837
96;0.998;0.0391376481902385;0.985;0.00643767474149866
97;0.998;0.0361216463800923;0.992;0.00731787020411988
98;0.931;0.0482536112358229;0.844;0.00574762698257731
99;0.952;0.0263274063996033;0.83;0.0178820461358081
100;0.826;0.0286848965799929;0.75;0.0426325220499013
101;0.978;0.0322032515606436;0.876;0.00627828842171416
102;0.953;0.0348604446005017;0.771;0.00535863749009746
103;0.999;0.0227139676259628;0.998;0.0188803829742739
104;0.957;0.0253086574714913;0.829;0.0328770006858596
105;0.999;0.0300164593982845;0.997;0.0115022540501889
106;0.955;0.0290718364935;0.847;0.0066268334150231
107;0.997;0.0245868767803149;0.98;0.006034829392008
108;0.998;0.0289159519527405;0.992;0.0106693461534332
109;0.804;0.0464811428375958;0.717;0.00439517227934924
110;0.998;0.0329687922671507;0.996;0.0115787207110921
111;0.998;0.0224351765240323;0.995;0.00877190986709068
112;0.963;0.029826584161815;0.835;0.00554591153214031
113;0.966;0.0187782278473712;0.876;0.00589385352799062
114;0.827;0.0324787307502861;0.737;0.00653371884487056
115;0.996;0.0317840704343844;0.984;0.00730318345226063
116;0.773;0.0286686556001378;0.659;0.00547228615107066
117;0.691;0.0448377396072887;0.509;0.00581462723343643
118;0.748;0.0294315415137954;0.561;0.00561648599349021
119;0.998;0.0201014515518915;0.996;0.0215255742297078
120;0.996;0.0333042138542897;0.985;0.00522787699014063
121;0.999;0.0164935201040604;0.993;0.0105830609607155
122;0.998;0.0391519704488286;0.998;0.0156004546896305
123;0.85;0.0421381643246935;0.784;0.00621629348169151
124;0.825;0.0296459447795144;0.713;0.0203548638186299
125;0.735;0.0519199796383799;0.706;0.00770376725595801
126;0.997;0.0214471793746404;0.99;0.00643086366790575
127;0.997;0.0258381654105094;0.988;0.00864500862377885
128;0.945;0.0336794859839356;0.856;0.00499506867962732
129;0.922;0.0312345110998586;0.888;0.0207655952039575
130;0.904;0.0292979869440174;0.854;0.00725876716211293
131;1;0.0216780049539135;1;0.023343418390295
132;0.998;0.0265724426143906;0.996;0.00964958612728561
133;0.886;0.0314243778883217;0.761;0.00436246642034079
134;0.958;0.0218550439383571;0.857;0.0290112251124711
135;0.636;0.0231488783042905;0.5;0.0634821390732847
136;0.964;0.0364358787974038;0.898;0.0129882640339772
137;0.985;0.036636397839109;0.959;0.00581393721460477
138;0.87;0.0382108157387646;0.719;0.00736081381855141
139;0.735;0.0379895956752065;0.654;0.00607174610867202
140;0.996;0.0192727542115278;0.987;0.00678076084670399
141;0.744;0.138843207246483;0.499;0.95575873715104
142;0.944;0.135302264564096;0.876;4.92463365108492e-10
143;0.979;0.0593792013787362;0.863;3.62126865338008e-13
144;0.748;0.175843168082739;0.498;0.00495492937473739
145;0.849;0.0882958362202158;0.7;0.992427681216145
146;0.882;0.0341365547157353;0.788;0.0105879787322093
147;1;0.0568023007158307;0.999;0.789445910252748
148;0.746;0.517403182649182;0.494;0.997169669146718
149;0.747;0.345335887503094;0.496;1.06075184878142e-07
150;0.998;0.0596350793235494;0.991;1.27709064027281e-13
151;0.937;0.0605998657334695;0.874;0.984831908288407
152;0.998;0.0565600322557492;0.994;0.0025034675137976
153;0.862;0.182349829518725;0.721;6.77987562303277e-13
154;0.976;0.0236343964053792;0.864;0.00116112190942507
155;0.953;0.0580790305191075;0.882;0.0127183813005001
156;0.991;0.0174283321625928;0.918;0.000276762901277603
157;0.855;0.069599141678139;0.789;0.00335622980012052
158;0.848;0.169160469279312;0.698;0.914466083913664
159;0.712;0.302874097333211;0.424;7.72340832145742e-12
160;0.815;0.273279203289702;0.631;2.30858382281911e-12
161;0.867;0.0982260378193194;0.75;0.978947842505963
162;0.768;0.250432295176159;0.572;5.08290304855034e-11
163;0.747;0.199566335393334;0.498;0.163134966903335
164;0.806;0.238960535110733;0.612;1.99280272454953e-11
165;0.81;0.127977073432946;0.625;0.999999252763174
166;0.872;0.185990414275949;0.745;2.48624576698786e-06
167;0.861;0.138489345670309;0.725;0.0569894930777355
168;0.991;0.0341077139275901;0.955;1.74024926149954e-06
169;0.916;0.0615256919098822;0.831;1.58867920508628e-05
170;0.919;0.109610297336583;0.747;0.577847961039422
171;0.863;0.138313705562657;0.748;0.172476634918238
172;0.871;0.240104069115334;0.745;4.08596000077593e-05
