"modelID";"AUC";"Deviance";"TSS";"threshold"
1;0.973;0.132086789851352;0.875;0.0826963037252426
2;0.986;0.176167036908065;0.92;0.188273921608925
3;0.986;0.123186118029797;0.925;0.0604724287986755
4;0.986;0.104687582322921;0.934;0.0819591283798218
5;0.992;0.0946855107220725;0.943;0.0970466434955597
6;0.985;0.159836178419146;0.92;0.277308851480484
7;0.981;0.107460182565575;0.885;0.274705022573471
8;0.983;0.114824412111416;0.902;0.0833523273468018
9;0.968;0.148865396266257;0.844;0.239533811807632
10;0.978;0.122504040583576;0.919;0.152469038963318
11;0.981;0.121414769523307;0.907;0.093329593539238
12;0.977;0.142117866974844;0.901;0.0753996148705482
13;0.976;0.155493232008397;0.899;0.166810110211372
14;0.978;0.176263797131483;0.902;0.105361677706242
15;0.987;0.134607147040586;0.936;0.330143332481384
16;0.975;0.150733465246965;0.857;0.059608232229948
17;0.981;0.155311351337297;0.931;0.122718185186386
18;0.983;0.104313909955607;0.913;0.0648909136652946
19;0.982;0.120341228243707;0.94;0.0978520512580872
20;0.981;0.140130932056495;0.934;0.0646127387881279
21;0.976;0.147802936526575;0.906;0.0812191516160965
22;0.981;0.154744944580203;0.893;0.0661451667547226
23;0.978;0.117697503435487;0.903;0.0700792148709297
24;0.973;0.10303005272004;0.855;0.0450928770005703
25;0.971;0.0985319374192483;0.878;0.025451423600316
26;0.983;0.125333405499033;0.931;0.296555727720261
27;0.981;0.115581681091361;0.928;0.0556572563946247
28;0.988;0.127215478170275;0.923;0.181484177708626
29;0.973;0.109107858247893;0.882;0.0450438372790813
30;0.976;0.15571970655442;0.903;0.0672579929232597
31;0.981;0.113019792010326;0.909;0.0397297069430351
32;0.968;0.137939855211368;0.855;0.117549620568752
33;0.964;0.145121063517659;0.851;0.0414226576685905
34;0.975;0.117346940777336;0.885;0.134540095925331
35;0.98;0.128524439967205;0.881;0.0477323420345783
36;0.968;0.119227671097723;0.876;0.125154197216034
37;0.967;0.13473682106752;0.866;0.208741202950478
38;0.981;0.131390285678178;0.91;0.0779804661870003
39;0.96;0.162662034130036;0.839;0.0715872719883919
40;0.981;0.103685584704231;0.877;0.0215154141187668
41;0.983;0.0815242952509648;0.902;0.264072597026825
42;0.981;0.102427045319704;0.873;0.0339037105441093
43;0.982;0.153211234421323;0.904;0.0619812197983265
44;0.971;0.137779011692656;0.85;0.0511504709720612
45;0.981;0.152011553518417;0.919;0.16754212975502
46;0.982;0.134425010838792;0.897;0.0480336993932724
47;0.979;0.167962658335001;0.887;0.281499296426773
48;0.983;0.141893817212172;0.887;0.0774689316749573
49;0.984;0.139065181543697;0.92;0.239783614873886
50;0.97;0.159816360478061;0.873;0.300530910491943
51;0.98;0.0883387318162672;0.888;0.054300919175148
52;0.977;0.103340712965656;0.91;0.222648575901985
53;0.985;0.123302231293868;0.92;0.0873972848057747
54;0.985;0.109295447178314;0.914;0.0466608293354511
55;0.976;0.138630767311409;0.876;0.0991997122764587
56;0.979;0.127307497631202;0.907;0.0520433783531189
57;0.985;0.114796558948666;0.88;0.136184975504875
58;0.968;0.121097391678678;0.873;0.185585469007492
59;0.97;0.0989093046020144;0.886;0.0577923469245434
60;0.956;0.13145757603563;0.798;0.0193536188453436
61;0.977;0.122193007438863;0.895;0.0702853724360466
62;0.985;0.128923499776525;0.894;0.149803757667542
63;0.971;0.145391568438298;0.869;0.164162546396255
