"species";"reference";"cells";"layer";"lon";"lat";"optional"
"Leptogorgia punicea";"OBIS";376379;0.423360168933868;-75.11000061;10.94027805;TRUE
"Leptogorgia punicea";"OBIS";745091;0.586555659770966;-39.135278;-17.421944;TRUE
"Leptogorgia punicea";"OBIS";359137;0.492839992046356;-71.95478058;12.29199982;TRUE
"Leptogorgia punicea";"OBIS";738611;0.584406852722168;-39.113333;-16.951389;TRUE
"Leptogorgia punicea";"OBIS";NA;NA;150.813;-35.0063;TRUE
"Leptogorgia punicea";"OBIS";737531;0.612423062324524;-39.085;-16.886389;TRUE
"Leptogorgia punicea";"OBIS";753737;0.501912415027618;-38.590556;-18.101944;TRUE
"Leptogorgia punicea";"OBIS";NA;NA;102.76;5.88276;TRUE
"Leptogorgia punicea";"OBIS";824939;0.391812354326248;-45.1567;-23.5881;TRUE
"Leptogorgia punicea";"OBIS";745092;0.585248112678528;-39.027778;-17.478333;TRUE
"Leptogorgia punicea";"OBIS";752652;0.607567191123962;-39.018333;-18.011111;TRUE
"Leptogorgia punicea";"OBIS";80442;0.160204410552979;-76.58329773;33.81000137;TRUE
"Leptogorgia punicea";"OBIS";818469;0.171688124537468;-44.2943;-23.1149;TRUE
"Leptogorgia punicea";"OBIS";358059;0.467923253774643;-71.7669754;12.38519478;TRUE
"Leptogorgia punicea";"OBIS";748333;0.612614989280701;-38.918889;-17.745556;TRUE
"Leptogorgia punicea";"OBIS";738612;0.608387649059296;-39.071389;-16.975278;TRUE
"Leptogorgia punicea";"OBIS";749412;0.635751366615295;-39.048333;-17.786389;TRUE
"Leptogorgia punicea";"GBIF";120352;0.276577770709991;-80.67905;30.66885;TRUE
"Leptogorgia punicea";"GBIF";130031;0.502275764942169;-84.095616;29.9593;TRUE
"Leptogorgia punicea";"GBIF";126769;0.310031116008759;-85.9665;30.217833;TRUE
"Leptogorgia punicea";"GBIF";134358;0.53790807723999;-83.548333;29.607333;TRUE
"Leptogorgia punicea";"GBIF";200259;0.315199613571167;-81.758833;24.532333;TRUE
"Leptogorgia punicea";"GBIF";199168;0.365689426660538;-82.6994;24.6028;TRUE
"Leptogorgia punicea";"GBIF";190535;0.350142002105713;-82.1497;25.29;TRUE
"Leptogorgia punicea";"GBIF";827096;0.494535624980927;-45.415;-23.8267;TRUE
"Leptogorgia punicea";"GBIF";379781;0.237206056714058;-61.66;10.69;TRUE
"Leptogorgia punicea";"GBIF";428452;0.119254745543003;-55.72;7;TRUE
